encoding_lr,final_encoding_lr,network_lr,final_network_lr,lambda_dist,alpha_threshold
3.00E-03,3.00E-03,3.00E-04,3.00E-04,1.00E-05,0
6.00E-03,6.00E-03,3.00E-04,3.00E-04,1.00E-05,0
1.00E-02,1.00E-02,3.00E-04,3.00E-04,1.00E-05,0
3.00E-03,3.00E-04,3.00E-04,3.00E-04,1.00E-05,0
6.00E-03,6.00E-04,3.00E-04,3.00E-04,1.00E-05,0
1.00E-02,1.00E-03,3.00E-04,3.00E-04,1.00E-05,0
3.00E-03,3.00E-03,1.00E-03,1.00E-03,1.00E-05,0
3.00E-03,3.00E-03,6.00E-04,6.00E-04,1.00E-05,0
3.00E-03,3.00E-03,3.00E-04,3.00E-04,1.00E-05,0
3.00E-03,3.00E-03,1.00E-04,1.00E-04,1.00E-05,0
3.00E-03,3.00E-03,1.00E-03,1.00E-04,1.00E-05,0
3.00E-03,3.00E-03,6.00E-04,6.00E-05,1.00E-05,0
3.00E-03,3.00E-03,3.00E-04,3.00E-04,1.00E-04,0
3.00E-03,3.00E-03,3.00E-04,3.00E-04,1.00E-05,0
3.00E-03,3.00E-03,3.00E-04,3.00E-04,1.00E-06,0
3.00E-03,3.00E-03,3.00E-04,3.00E-04,1.00E-05,3.92E-03
3.00E-03,3.00E-03,3.00E-04,3.00E-04,1.00E-05,1.00E-03

