delaunay_start,lambda_ssim,densify_start,num_iter,split_std,run_id,num_densification_samples,num_densify_iter,gpu_id,clone_schedule,psnr,final_encoding_lr,additional_pts,split_mode,vertices_lr_delay_mult,net_weight_decay,sh_deg,dataset_path,network_lr,encoding_lr,vertices_lr,per_level_scale,error,scale_multi,final_vertices_lr,cloning_interval,lambda_dist,final_network_lr,eval,sh_degree_interval,vertices_lr_max_steps,render_size_min,budget,log2_hashmap_size,weight_decay,s_param_lr,rgb_param_lr,vertices_beta,L,tile_size,sh_param_lr,image_folder,output_path
,,,,,cf5664d0f2b543b5aa1fa0338e254ea1,10,,2,,,,,,,,,,,,,,Process failed and no JSON output file found,,,100,,,,,,,,,,,,,,,,,
,,,,,aceeecd2799948368f5c9c296c2f0d22,20,,3,,,,,,,,,,,,,,Process failed and no JSON output file found,,,100,,,,,,,,,,,,,,,,,
,,,,,241d4b8488274ee7b14e9e0ffe2ea866,50,,2,,,,,,,,,,,,,,Process failed and no JSON output file found,,,100,,,,,,,,,,,,,,,,,
,,,,,c150ac588d7a4ac39223a45a71ca3c42,10,,3,,,,,,,,,,,,,,Process failed and no JSON output file found,,,200,,,,,,,,,,,,,,,,,
,,,,,b984d4298e974a4db04f5b1c7040413d,20,,2,,,,,,,,,,,,,,Process failed and no JSON output file found,,,200,,,,,,,,,,,,,,,,,
,,,,,cebed839723c432491edae2bf2f9a791,50,,3,,,,,,,,,,,,,,Process failed and no JSON output file found,,,200,,,,,,,,,,,,,,,,,
1500,0.1,1500,7000,0.1,d79c49bdac3f4a8ab32647973d525da3,20,3500,2,linear,20.524884828203493,0.01,0,barycentric,0.01,0.0,3,/optane/nerf_datasets/360/bicycle,0.001,0.01,5e-05,2,,1.0,5e-05,300,0.001,0.001,True,500,7000,0,1000000,22,0.01,0.025,0.025,"[0.9, 0.99]",10,16,0.0025,images_4,output/d79c49bdac3f4a8ab32647973d525da3
1500,0.1,1500,7000,0.1,586c4d830fd24c90b69ccb0786b45407,50,3500,3,linear,20.450637134042115,0.01,0,barycentric,0.01,0.0,3,/optane/nerf_datasets/360/bicycle,0.001,0.01,5e-05,2,,1.0,5e-05,300,0.001,0.001,True,500,7000,0,1000000,22,0.01,0.025,0.025,"[0.9, 0.99]",10,16,0.0025,images_4,output/586c4d830fd24c90b69ccb0786b45407
1500,0.1,1500,7000,0.1,49ba48b06c4542f29094e5b2f1024ac6,50,3500,3,linear,20.664372428932598,0.01,0,barycentric,0.01,0.0,3,/optane/nerf_datasets/360/bicycle,0.001,0.01,5e-05,2,,1.0,5e-05,500,0.001,0.001,True,500,7000,0,1000000,22,0.01,0.025,0.025,"[0.9, 0.99]",10,16,0.0025,images_4,output/49ba48b06c4542f29094e5b2f1024ac6
1500,0.1,1500,7000,0.1,cd3bb4bd05e048c59932513a1030e371,100,3500,2,linear,20.321300786945475,0.01,0,barycentric,0.01,0.0,3,/optane/nerf_datasets/360/bicycle,0.001,0.01,5e-05,2,,1.0,5e-05,300,0.001,0.001,True,500,7000,0,1000000,22,0.01,0.025,0.025,"[0.9, 0.99]",10,16,0.0025,images_4,output/cd3bb4bd05e048c59932513a1030e371
1500,0.1,1500,7000,0.1,6212826c14d5451a82c06d5f3b19e5e0,100,3500,2,linear,20.49716591718605,0.01,0,barycentric,0.01,0.0,3,/optane/nerf_datasets/360/bicycle,0.001,0.01,5e-05,2,,1.0,5e-05,500,0.001,0.001,True,500,7000,0,1000000,22,0.01,0.025,0.025,"[0.9, 0.99]",10,16,0.0025,images_4,output/6212826c14d5451a82c06d5f3b19e5e0
1500,0.1,1500,7000,0.1,5e37dfa3c2fe4084958c2fa250f19661,169,3500,3,linear,20.437505847412176,0.01,0,barycentric,0.01,0.0,3,/optane/nerf_datasets/360/bicycle,0.001,0.01,5e-05,2,,1.0,5e-05,500,0.001,0.001,True,500,7000,0,1000000,22,0.01,0.025,0.025,"[0.9, 0.99]",10,16,0.0025,images_4,output/5e37dfa3c2fe4084958c2fa250f19661
