densify_start,lights_lr,final_lights_lr,lambda_tv,sh_step,lr_delay,vert_lr_delay
3000,1.00E-04,1.00E-04,0,1,50,50
3000,5.00E-04,5.00E-04,0,1,50,50
3000,1.00E-03,1.00E-03,0,1,50,50
3000,1.00E-03,1.00E-03,0.1,1,50,50
3000,1.00E-03,1.00E-03,1.00E-02,1,50,50
3000,1.00E-03,1.00E-03,0.5,1,50,50
3000,1.00E-03,1.00E-03,5.00E-02,1,50,50
3000,1.00E-03,1.00E-03,1,1,50,50
3500,1.00E-03,1.00E-03,0,1,50,50
4000,1.00E-03,1.00E-03,0,1,50,50
3000,1.00E-03,1.00E-03,0,1,50,50
3000,1.00E-03,1.00E-03,0,8,50,50
3000,1.00E-03,1.00E-03,0,16,50,50
3000,1.00E-03,1.00E-03,0,1,250,50
3000,1.00E-03,1.00E-03,0,1,500,50
3000,1.00E-03,1.00E-03,0,1,50,50
3000,1.00E-03,1.00E-03,0,1,50,250
3000,1.00E-03,1.00E-03,0,1,50,500

